Position,Height,Weight,Age,Preferred Foot,Avg Ball,Avg Pass,Finishing,Speed,Kicking Power,Stamina,Avg Def,Weak Foot,Overall
CF,185,81,33,Right,77.0,66.0,86,74,79,71,53.666666666666664,High,88
RWF,175,71,29,Left,80.5,70.0,82,84,70,78,50.666666666666664,Medium,88
RWF,170,72,34,Left,85.5,80.5,85,68,72,66,50.0,High,87
CF,178,73,23,Right,81.5,69.5,80,84,72,75,53.333333333333336,High,87
CF,187,84,36,Right,77.0,68.0,80,74,82,66,43.333333333333336,Very,86
GK,193,93,35,Right,57.0,65.0,40,53,76,62,63.333333333333336,High,86
GK,188,87,28,Right,53.5,62.5,40,58,72,62,52.0,Slightly,86
AMF,181,68,30,Right,78.5,84.0,72,72,84,79,61.666666666666664,Very,86
CB,193,92,30,Right,60.5,69.5,47,70,71,66,78.33333333333333,High,86
DMF,177,75,26,Right,76.5,82.5,67,70,74,83,78.0,High,86
CF,185,81,34,Right,79.5,68.5,81,70,76,69,59.333333333333336,High,85
LWF,175,68,29,Right,85.0,78.5,76,74,73,67,52.0,Very,85
DMF,185,84,29,Right,67.5,74.5,60,66,79,82,82.0,Medium,85
GK,199,96,29,Left,49.0,58.5,40,54,68,58,48.666666666666664,Medium,85
GK,191,91,29,Right,53.0,61.0,40,56,69,58,49.666666666666664,Medium,85
CF,194,87,21,Left,66.5,59.0,82,84,86,67,58.333333333333336,High,85
CF,191,94,28,Left,68.5,63.5,79,79,82,69,56.0,High,84
CB,183,75,27,Right,67.5,72.5,57,72,65,74,79.33333333333333,Medium,84
GK,188,86,28,Left,53.0,72.5,40,56,82,58,51.666666666666664,Medium,84
CF,188,76,28,Right,71.5,73.5,84,67,82,76,54.0,High,84
DMF,168,68,30,Right,72.5,75.0,61,76,71,86,84.0,Medium,84
CB,187,89,30,Right,65.0,67.0,57,74,61,72,80.33333333333333,Medium,84
CB,184,82,35,Right,68.0,70.5,58,68,71,70,78.0,High,83
GK,185,80,35,Right,51.0,59.0,40,46,71,58,56.333333333333336,Medium,83
CF,185,85,31,Right,70.0,62.5,81,73,78,73,58.333333333333336,High,83
LMF,183,79,29,Right,75.5,70.0,80,84,79,82,53.666666666666664,Very,83
SS,177,75,28,Left,80.0,75.0,73,73,73,71,53.0,Medium,83
RB,182,74,27,Right,77.5,80.5,62,79,74,82,70.33333333333333,High,83
LWF,175,69,29,Right,75.0,64.0,71,84,74,80,58.0,High,83
CMF,189,82,26,Right,74.0,76.5,66,74,76,76,74.0,Medium,83
AMF,179,69,27,Right,74.5,81.0,72,68,80,83,58.333333333333336,High,83
GK,187,85,29,Right,51.5,58.5,40,59,74,58,52.333333333333336,High,83
AMF,173,64,27,Left,84.0,75.5,70,68,68,84,60.666666666666664,Medium,83
GK,196,90,22,Right,51.5,58.5,40,55,74,58,52.0,Medium,83
CMF,180,74,24,Right,77.5,79.5,61,72,67,81,71.0,High,83
CB,186,82,24,Right,61.0,67.5,48,64,67,77,82.0,High,83
CB,188,89,22,Right,65.0,70.5,55,67,70,72,77.33333333333333,High,83
CMF,172,66,36,Right,80.5,82.5,64,66,72,73,66.33333333333333,High,82
CF,182,83,34,Right,72.5,65.5,80,60,79,65,63.0,High,82
CMF,183,76,31,Right,77.0,83.0,71,62,79,72,67.0,High,82
DMF,189,76,33,Right,75.5,81.0,54,60,65,74,75.0,Medium,82
SS,185,76,32,Right,72.0,74.5,78,67,72,74,59.333333333333336,High,82
CB,189,78,29,Right,64.5,70.0,56,66,69,71,78.0,High,82
CMF,176,74,29,Right,75.5,78.5,63,63,74,81,73.0,High,82
CB,180,78,29,Left,71.5,78.5,65,76,75,76,74.66666666666667,High,82
SS,176,73,30,Left,78.0,71.5,75,70,72,74,55.0,Medium,82
CB,191,81,28,Right,62.0,68.0,48,75,62,67,75.66666666666667,Medium,82
LWF,163,59,30,Right,79.5,75.0,73,76,70,74,56.333333333333336,Medium,82
RWF,176,77,26,Right,78.5,70.5,71,76,73,67,55.333333333333336,Very,82
RWF,179,67,30,Left,82.5,75.0,73,72,70,68,48.666666666666664,High,82
CMF,183,74,29,Right,80.0,80.0,72,70,76,74,61.0,High,82
DMF,188,78,28,Right,70.0,74.5,58,73,73,81,78.66666666666667,High,82
LWF,183,80,25,Left,78.5,72.0,67,84,81,64,49.0,Medium,82
CMF,184,74,26,Right,73.5,73.5,70,81,73,81,73.66666666666667,High,82
CMF,191,76,26,Right,78.5,75.0,71,69,75,77,69.66666666666667,High,82
DMF,191,82,25,Right,72.5,78.5,57,63,82,79,77.33333333333333,High,82
CB,188,80,26,Right,62.0,66.5,60,68,73,74,79.66666666666667,Medium,82
RB,175,69,23,Right,71.5,82.5,56,76,79,81,71.33333333333333,High,82
GK,197,86,29,Right,50.0,58.5,40,53,66,58,49.666666666666664,Medium,82
RWF,175,70,24,Right,76.5,72.0,70,80,74,77,61.333333333333336,High,82
